county_id;rentindex
201;3693
202;2842
203;4322
204;2020
205;3101
206;4558
207;2354
208;2979
209;3395
210;3271
211;4420
212;2060
213;3172
214;4407
215;5078
216;3259
217;3316
218;4861
219;3732
220;4749
221;2380
222;3468
223;5479
224;2279
225;3550
226;2924
261;4093
262;4111
264;8407
265;3001
401;4867
402;3909
403;4397
404;3357
405;3370
406;2890
407;4173
408;2574
409;2690
410;3319
411;1962
412;3049
413;2688
414;3790
415;3920
416;3097
417;3028
418;2151
419;3038
461;5700
462;3684
463;6580
464;4651
601;3026
602;3847
603;2371
604;2765
605;3931
606;4050
607;3977
608;4748
609;4987
610;3855
611;4570
612;4002
613;3613
614;5373
615;3831
616;3644
617;5608
618;3380
619;2758
620;2878
661;4265
662;4153
663;7178
664;5184
801;3925
802;3057
803;3182
804;3219
805;3915
806;2810
807;3254
808;3684
809;3254
810;2688
811;2990
812;2771
861;4745
862;4924
1001;3734
1002;4443
1003;3770
1004;3959
1005;4343
1006;4096
1007;3990
1008;4468
1009;3828
1010;2301
1011;4853
1012;4358
1013;4821
1014;4089
1015;3183
1016;4311
1017;4417
1018;3940
1019;4066
1020;4423
1021;3823
1061;5750
1062;4449
1063;5532
1201;5021
1202;3953
1203;4245
1204;3718
1205;3511
1206;6105
1207;3986
1208;4643
1209;4518
1210;4317
1211;7051
1212;4472
1213;4376
1214;4608
1215;2898
1216;2884
1217;11341
1218;4634
1219;6411
1261;9339
1262;4818
1263;4394
1401;4261
1402;3974
1403;4653
1404;3261
1405;5352
1406;4988
1407;3729
1408;6283
1409;2946
1410;3236
1411;2552
1412;5743
1413;4062
1414;5255
1415;2141
1416;3841
1417;6603
1418;7030
1419;3076
1420;4022
1421;6956
1422;3473
1423;3337
1424;3749
1425;3428
1426;2105
1427;3238
1428;4680
1429;4232
1430;3253
1432;6771
1433;3968
1434;6621
1435;4671
1436;3055
1437;3252
1438;4696
1461;4721
1462;4805
1463;5031
1464;5860
1465;11775
1601;3301
1602;2132
1603;2998
1604;2746
1605;2992
1606;3063
1607;3100
1608;3360
1609;3166
1610;2174
1611;3192
1661;5744
1801;3888
1802;2945
1803;4243
1804;3753
1805;3416
1806;4716
1807;3536
1808;3065
1809;2260
1810;4070
1811;4850
1812;3629
1813;2809
1814;2848
1815;3894
1816;5315
1817;3880
1818;4500
1819;3148
1820;3416
1821;3138
1861;4065
1862;3487
1863;6269
1864;3787
2001;5765
2002;4641
2003;3522
2004;3699
2005;2983
2006;3276
2007;2895
2008;4147
2009;2855
2010;3282
2011;3399
2012;2532
2013;4535
2014;4574
2061;6593
2062;5238
2063;5371
2201;3922
2202;4043
2203;2867
2204;6303
2205;5242
2206;4161
2207;3782
2208;3781
2209;4017
2210;5579
2211;6690
2212;4597
2213;4074
2214;5106
2215;5974
2216;2513
2261;9808
2262;9021
2263;4368
2264;13929
2401;3851
2402;4500
2403;4405
2404;3511
2405;3617
2406;3887
2407;2920
2408;4145
2409;2972
2410;3886
2411;3268
2412;3099
2413;3976
2414;4179
2415;3070
2416;3538
2417;3594
2461;5276
2462;2981
2463;4162
2464;4800
2465;4180
2466;4668
2467;3309
2468;4539
2469;5863
2470;3934
2471;3476
2472;3613
2473;3726
2474;4396
2475;4130
2476;3524
2477;5510
2478;3675
2479;4204
2601;4840
2602;3121
2603;2545
2604;4250
2605;3236
2606;2603
2607;3431
2608;3042
2609;4012
2610;3744
2611;4009
2612;3197
2613;3028
2661;5684
2801;2803
2802;3135
2803;3126
2804;3323
2805;4652
2806;4621
2807;4260
2808;2843
2809;3149
2810;4718
2811;2992
2812;3348
2813;3746
2814;4541
2815;3668
2816;3016
2817;3325
2818;2986
2819;3258
2861;4994
2862;6206
3001;3381
3002;3200
3003;3524
3004;3279
3005;3245
3006;3242
3007;3604
3008;4093
3009;3491
3010;3228
3011;3208
3012;3156
3013;3318
3014;2868
3015;3940
3016;3833
3017;3600
3018;3371
3019;4563
3020;3917
3021;5963
3022;3288
3023;3521
3024;3675
3025;4205
3026;3976
3027;3940
3028;3493
3029;3740
3030;4296
3031;3266
3061;4178
3062;3918
3063;4042
3064;7371
3201;2682
3202;2927
3203;2525
3204;4359
3205;3425
3206;3291
3207;7479
3208;7066
3209;5330
3210;3471
3211;5803
3212;3007
3213;4921
3214;4192
3215;3209
3216;2287
3217;3260
3218;2231
3261;5452
3262;6362
3263;8751
